職缺名稱,公司名稱,工作地點,薪資範圍,職缺連結,發布日期,截止日期,工作經歷,學歷要求,擅長工具,工作技能,工作內容,職務類別
資料分析師 - B216,精誠資訊股份有限公司,台北市內湖區,未提供,https://www.104.com.tw/job/8jbd3?jobsource=joblist_list,2025/03/10,,2年以上,大學,Python; ETL; Informatica; MS SQL; MySQL; Oracle; PL/SQL; RDBMS; hadoop; Tableau; Data Architect; Data Marts; Hive; MicroStrategy; SAS; SPSS; Teradata,數據分析; Machine Learning; 資料庫系統管理維護; 資料庫程式設計; 資料庫軟體應用; 系統架構規劃與維護; 專案管理軟體操作; 簡報軟體操作,"1.使用者報表需求溝通與分析
2.資料邏輯分析
3.資料源與資料流架構設計
4.會需要日本出差
5.有以下技術與經驗有的話尤佳
Azure Data Factory、Synapse SQL、Azure Storage",資料工程師; 其他資訊專業人員; 數據分析師
資深數據分析師【商周集團】,商周集團_商周編輯顧問股份有限公司,台北市南港區,未提供,https://www.104.com.tw/job/8n62g?jobsource=joblist_bact_n,2025/03/11,,3年以上,大學,Python; Excel; Power BI​; R,統計軟體操作; 網站流量成效追蹤; 數據分析; 消費者行為; 廣告效益評估; 報表開發; 商業智慧,"我們在找一位真正懂數據、有敏銳直覺的資深數據分析師！
數據不只是冷冰冰的數字，而是埋藏機會與突破點的寶藏。我們需要一位能從雜亂數據中找到關鍵訊號、快速發現異常與趨勢，並提出具體洞察與行動建議的人。
你會喜歡這份工作的話，你應該是：
✅ 對數據有感覺，能從數字變化中察覺問題、找到價值
✅ 喜歡深入分析，不只是跑報表，而是想知道「為什麼」
✅ 願意提出洞察與建議，數據分析的價值在於影響決策

工作主要職責：
1.洞察數據價值：分析內容、社群與讀者行為，發現業務問題，提出前瞻性策略建議。
2.挖掘客戶模式：識別高價值客群，優化行銷策略，提升轉換與成長機會。
3.支援決策分析：參與專案數據分析，驗證假設，提供關鍵決策依據，驅動業務突破。
4.其他主管交辦工作。

我們不拘泥於工具，Excel 也好、R或PYTHON也行，關鍵是你能讓數據說話，幫助業務做出更好的決策！
如果你熱愛數據、喜歡解謎、樂於挑戰，歡迎加入我們！
",資料科學家; 數據分析師; 市場調查／市場分析
數據分析師,博凡星國際有限公司,台中市西屯區,未提供,https://www.104.com.tw/job/8mfgd?jobsource=joblist_bact_n,2025/03/04,,2年以上,大學,Python; Excel; Tableau; Power BI​,市場調查資料分析與報告撰寫; 統計軟體操作; 數據分析,"工作內容
１. 彙整內外部資料，洞察資料價值。
２. 監控數據質量與模型，調整並改進數據分析流程。
３. 數據分析
      -對數據進行分析，發現模式，趨勢和相關性。
      -創建可視化報表，以協助管理層利用與分析。
４. 數據回饋
      -協助業務決策面的數據支持
      -結合指標給予有效解決方案

附加條件：
１. 具２年以上相關經驗。
２. 熟悉至少一種數據分析語言，如R，Python
３. 熟悉數據儀表板的建置與操作，如Tableau，PowerBI
４. 具備開放學習態度和跨團隊的合作精神
５. 溝通與邏輯能力
",數據分析師; 資料科學家; 統計學研究員
數據分析師 Data analyst,偉詳工業股份有限公司,嘉義縣民雄鄉,未提供,https://www.104.com.tw/job/8azof?jobsource=joblist_list,2025/03/11,,1年以上,大學,SQL; Python,軟體工程系統開發; 軟體程式設計,"【工作需求】
熟悉Python。
熟悉C# 語言。
理解關聯式資料庫之架構，能編寫基本SQL語法。
具備機器學習、深度學習等技術相關使用經驗。

【工作內容】
透過C#以及相關CNC套件，建立能獲取機器參數之應用程式。
與同事幹部討論可能的預測目標
深入分析影響預測目標，並找出可能造成影響的特徵。
成為公司與外部合作者對於數據分析專案的橋樑。

",數據分析師; 軟體工程師
數據分析師,直通國際股份有限公司,台北市松山區,"月薪55,000元以上",https://www.104.com.tw/job/8ksaw?jobsource=joblist_bact_n,2025/02/10,,1年以上,大學,Python; Tableau; Power BI​,數據分析; 系統整合分析; 軟體程式設計,"1.撰寫Python程式碼進行客戶行銷數據的分析。
2.應用RFM（Recency, Frequency, Monetary）模型進行客群分析。
3.進行TLV（Total Lifetime Value）分析，評估客戶的終身價值。
4提供Next Product Offering（下一個產品推薦）的數據支持，幫助業務決策。
5.整理並呈現數據分析報告，提供可行的商業建議。",數據分析師; 資料科學家
約聘數據分析師 ( Intern ),CRIF TAIWAN_中華徵信所企業股份有限公司,台北市松山區,時薪190元,https://www.104.com.tw/job/8mm7g?jobsource=joblist_bact_n,2025/03/11,,經歷不拘,大學,SQL,產品介紹及解說銷售,"1.多項排名調查專案問卷蒐集、電訪及數據資料庫建置。
2.客製化調查數據分析，財金系、會計系、經濟系等商學院優先
3.具PMP證照、證券商高級業務員證照、SQL認證尤佳
4.輔助例行財務調查，藉由財務數據報告立論。
5.投信專案合作與ETF成分股分析。
6.戰略產業資料庫與商業模式開發。
加分項目－掌握企業永續、產業發展、數據策略調查~

",財務分析／財務人員; 數據分析師
數據分析師【今周刊─數位內容部】,今周刊_今周文化事業股份有限公司,台北市中山區,未提供,https://www.104.com.tw/job/8e0h8?jobsource=joblist_bact_n,2025/03/11,,2年以上,大學,Excel,未提供,"1.【必備】Google Analytics技能。 
2.【必備】熟稔Excel(函數、樞紐分析等工具）和Office各軟體。
3.每週例行性數據分析報表製作，彙整內容/社群等各式數據，問題診斷與研究，提出相關數據洞察和建議。 
4.統整會員讀者資料標籤。
5.具備基礎資料庫程式語言能力。 
6.蒐集網路讀者行為資料，分析行為特徵與需求，即時提供編輯團隊內容發展趨勢。 
7.客戶行為分析，建立預測模型找出精準及潛在客群，提升行銷、廣告成效。 
8.有效利用各項分析數據指標，提供各事業單位營運上分析觀察與建議。 
9.專業分析技能外，對於分析後的結果解讀及應用設計更為重要。 
10.具數位行銷相關經驗。
11.擁有良好的跨部門溝通能力。
12.邏輯和表達能力清晰，細心且具整合組織與簡報能力。
",數據分析師; 資料工程師
數據分析師(Power BI),康翔科技股份有限公司,台北市松山區,未提供,https://www.104.com.tw/job/8n0yj?jobsource=joblist_bact_n,2025/02/27,,2年以上,專科,ETL; Power BI​; Microsoft Azure,數據分析,"1. Power BI Designer (熟悉Power BI尤佳)
2. Azure SQL DB management and development 
3. ETL 
4. Data Warehouse management",數據分析師; 資料科學家; 資料工程師
數據分析師,玉山綜合證券股份有限公司,台北市中山區,未提供,https://www.104.com.tw/job/70c5w?jobsource=joblist_list,2025/03/05,,1年以上,大學,Python; MS SQL; Excel; PowerPoint; Word; Tableau,未提供,"1.	數據應用需求訪談
2.	設計與建置自動化報表及儀表板
3.	商業效益分析
4.	運用演算法建置行銷、風控自動化服務
5.	參與跨單位專案
6.	部門其他維運事項",數據分析師; 演算法工程師; AI工程師
"App 產品數據分析師 Data Analyst (數數發中心, DDT) (CUBE Reward)_I00016036",國泰金控_國泰金融控股股份有限公司,台北市信義區,未提供,https://www.104.com.tw/job/87py5?jobsource=joblist_list,2025/03/07,,經歷不拘,學歷不拘,PostgreSQL; Google Analytics; Firebase,未提供,"1. 負責 App 數據追蹤碼的埋設、維護與優化，並利用 Adobe Analytics、Google Analytics 等工具進行數據分析。
2. 深入了解使用者行為，分析 App 使用流程，並提出優化建議，提升使用者體驗。
3. 協同產品經理、設計師等部門，共同推動產品迭代與成長。
4. 透過良好的數據分析能力、邏輯思維能力，以及對使用者體驗的敏銳度，協助團隊及產品共同成長

**請同步於 104 及以下職缺連結投遞履歷，可以讓我們在審閱履歷上會更快速喔！**
投遞連結：https://recruit.cathayholdings.com/CathaybkHR/servlet/HttpDispatcher/EZA0_0320/jobDetail?applFormNo=I00016036",數據分析師; 行銷企劃
